target,feature,coef,coef_se,effect_per_0.1,effect_ci_low,effect_ci_high,r2_model,rmse,mae
Cooling load,Compactness index (CI),4.001305264575286,0.30273389071271267,0.40013052645752856,0.34079468387783685,0.45946636903722027,0.5816270665119392,6.8707155293936415,4.682046678614911
Cooling load,Vertical compactness index (VCI),15.404070161819833,0.43082209288502726,1.5404070161819834,1.455965885976518,1.6248481463874487,0.5816270665119392,6.8707155293936415,4.682046678614911
Cooling load,Land-use mix entropy (LUM),-8.113186314854316,1.9458337725291328,-0.8113186314854316,-1.1927020509011417,-0.4299352120697215,0.5816270665119392,6.8707155293936415,4.682046678614911
Cooling load,Land-use adjacency mix,-5.322265412484344,1.0451801829146024,-0.5322265412484345,-0.7370818570996965,-0.32737122539717245,0.5816270665119392,6.8707155293936415,4.682046678614911
Cooling load,Dominant land-use intensity,5.464381374234397,0.37123418233877997,0.5464381374234397,0.47367623768503886,0.6192000371618406,0.5816270665119392,6.8707155293936415,4.682046678614911
Cooling load,Land-use proximity,13.565630944853783,1.9739590898687007,1.3565630944853784,0.969667112871113,1.7434590760996438,0.5816270665119392,6.8707155293936415,4.682046678614911
Cooling load,Global street integration (GI),2.7263975921223214,0.5492555124603502,0.27263975921223216,0.16498567877000353,0.3802938396544608,0.5816270665119392,6.8707155293936415,4.682046678614911
Cooling load,Local street integration (LI),-2.437943137578937,0.5056038733774267,-0.2437943137578937,-0.34289267293986936,-0.14469595457591805,0.5816270665119392,6.8707155293936415,4.682046678614911
Heating load,Compactness index (CI),3.0784168230972995,0.502682332599462,0.30784168230972997,0.2093159451202354,0.4063674194992245,0.568987425134925,11.408657619442103,7.400581239991434
Heating load,Vertical compactness index (VCI),31.03075418308989,0.7153697066323647,3.1030754183089893,2.9628629558090456,3.243287880808933,0.568987425134925,11.408657619442103,7.400581239991434
Heating load,Land-use mix entropy (LUM),-10.92624364238465,3.231010103701881,-1.092624364238465,-1.7259023445640338,-0.4593463839128963,0.568987425134925,11.408657619442103,7.400581239991434
Heating load,Land-use adjacency mix,-3.926523700114849,1.7354965150989023,-0.39265237001148495,-0.7328096869708698,-0.05249505305210006,0.568987425134925,11.408657619442103,7.400581239991434
Heating load,Dominant land-use intensity,7.821259352232429,0.6164254166567797,0.782125935223243,0.6613065535585142,0.9029453168879719,0.568987425134925,11.408657619442103,7.400581239991434
Heating load,Land-use proximity,18.14845272222051,3.277711515598875,1.8148452722220512,1.1724138151646715,2.457276729279431,0.568987425134925,11.408657619442103,7.400581239991434
Heating load,Global street integration (GI),3.5731419238592426,0.9120255467488941,0.35731419238592427,0.178557185223141,0.5360711995487075,0.568987425134925,11.408657619442103,7.400581239991434
Heating load,Local street integration (LI),-4.713931032658337,0.8395430516297168,-0.4713931032658337,-0.6359435413852582,-0.30684266514640923,0.568987425134925,11.408657619442103,7.400581239991434
Other electricity,Compactness index (CI),-0.427844895569179,0.21402737074734038,-0.0427844895569179,-0.08473385422339662,-0.0008351248904391873,0.49045840959992615,4.8574712809558935,3.062579636533459
Other electricity,Vertical compactness index (VCI),10.517871469206826,0.30458340684278323,1.0517871469206825,0.992088799179497,1.111485494661868,0.49045840959992615,4.8574712809558935,3.062579636533459
Other electricity,Land-use mix entropy (LUM),-2.1766319455532637,1.3756691900775688,-0.21766319455532637,-0.4872943558105298,0.051967966699877105,0.49045840959992615,4.8574712809558935,3.062579636533459
Other electricity,Land-use adjacency mix,1.9872540021748537,0.7389234352975695,0.1987254002174854,0.05389640689916175,0.343554393535809,0.49045840959992615,4.8574712809558935,3.062579636533459
Other electricity,Dominant land-use intensity,5.501855859184551,0.26245583469512523,0.5501855859184551,0.4987442423182106,0.6016269295186997,0.49045840959992615,4.8574712809558935,3.062579636533459
Other electricity,Land-use proximity,5.82804587149046,1.3955532793926126,0.582804587149046,0.309276144388094,0.856333029909998,0.49045840959992615,4.8574712809558935,3.062579636533459
Other electricity,Global street integration (GI),0.8027636137291185,0.3883136867286835,0.08027636137291186,0.004166878774089888,0.15638584397173383,0.49045840959992615,4.8574712809558935,3.062579636533459
Other electricity,Local street integration (LI),-1.71327110204366,0.35745276950618493,-0.171327110204366,-0.24138785302757826,-0.10126636738115376,0.49045840959992615,4.8574712809558935,3.062579636533459
