target,feature,corr,value_q10,value_q90,shap_low,shap_high,shap_mean
Cooling load,Vertical compactness index (VCI),0.9801338756914082,0.0,0.792059125253057,-6.930696964263916,12.235596656799316,0.1412253975868225
Cooling load,Compactness index (CI),0.479700745149117,0.0,0.9542560081356422,-0.4065874516963959,-2.2914819717407227,0.12128505110740662
Cooling load,Dominant land-use intensity,0.7301394314186174,0.0,0.9468389224491224,-1.2539708614349365,2.3619871139526367,-0.11500892788171768
Cooling load,Land-use adjacency mix,-0.6868327740528006,0.6749999999999999,1.0,2.7367782592773438,-0.585350751876831,-0.11678364127874374
Heating load,Vertical compactness index (VCI),0.9730049267341422,0.0,0.792059125253057,-10.424826622009277,25.224159240722656,0.4204023480415344
Heating load,Dominant land-use intensity,0.7425721828979888,0.0,0.9468389224491224,-2.318148612976074,4.231095790863037,-0.26656365394592285
Heating load,Compactness index (CI),0.40834118369478406,0.0,0.9542560081356422,-0.6486318707466125,-4.132908821105957,-0.07167676091194153
Heating load,Land-use adjacency mix,-0.5682731370291692,0.6749999999999999,1.0,3.771559238433838,-0.28284400701522827,0.07815346121788025
Other electricity,Vertical compactness index (VCI),0.9304581484819238,0.0,0.792059125253057,-2.706660747528076,5.642595291137695,0.30755823850631714
Other electricity,Compactness index (CI),0.32563604750174374,0.0,0.9542560081356422,-1.3816319704055786,-1.5145394802093506,-0.20178931951522827
Other electricity,Dominant land-use intensity,0.7002522489541967,0.0,0.9468389224491224,-0.8855149149894714,2.804042100906372,-0.04309561476111412
Other electricity,Land-use adjacency mix,-0.600244714972873,0.6749999999999999,1.0,0.7112532258033752,-0.3369429111480713,-0.05197218805551529
