target,feature,mean_abs_shap,share
Cooling load,Vertical compactness index (VCI),6.191823959350586,0.5080006718635559
Cooling load,Compactness index (CI),1.8939979076385498,0.15539075434207916
Cooling load,Dominant land-use intensity,1.7599529027938843,0.144393190741539
Cooling load,Land-use adjacency mix,0.8233170509338379,0.06754804402589798
Cooling load,Global street integration (GI),0.6344175338745117,0.05205001309514046
Cooling load,Land-use proximity,0.4903695583343506,0.04023177549242973
Cooling load,Local street integration (LI),0.2234719842672348,0.018334487453103065
Cooling load,Land-use mix entropy (LUM),0.17126207053661346,0.014050988480448723
Heating load,Vertical compactness index (VCI),10.233983993530273,0.5387846827507019
Heating load,Dominant land-use intensity,2.94042706489563,0.1548035442829132
Heating load,Compactness index (CI),2.7769246101379395,0.1461956948041916
Heating load,Land-use adjacency mix,1.0100815296173096,0.053177379071712494
Heating load,Global street integration (GI),0.7784410715103149,0.04098229110240936
Heating load,Land-use proximity,0.6669027805328369,0.03511017560958862
Heating load,Local street integration (LI),0.3145098090171814,0.016557877883315086
Heating load,Land-use mix entropy (LUM),0.2733003795146942,0.014388341456651688
Other electricity,Vertical compactness index (VCI),2.6466517448425293,0.38995561003685
Other electricity,Compactness index (CI),1.4905321598052979,0.21961385011672974
Other electricity,Dominant land-use intensity,1.3889204263687134,0.20464245975017548
Other electricity,Land-use adjacency mix,0.39558619260787964,0.058285363018512726
Other electricity,Global street integration (GI),0.3138079047203064,0.04623621329665184
Other electricity,Land-use proximity,0.2977665662765503,0.04387269541621208
Other electricity,Local street integration (LI),0.14755044877529144,0.02173996903002262
Other electricity,Land-use mix entropy (LUM),0.10624321550130844,0.015653792768716812
