target,group,mean_abs_shap,share
Cooling load,Form,2.0107672214508057,0.15261147916316986
Cooling load,Built,11.137007713317871,0.8452669978141785
Cooling load,Transport,0.02795339748263359,0.0021215828601270914
Heating load,Form,1.6252453327178955,0.08914420008659363
Heating load,Built,16.5701904296875,0.9088698029518127
Heating load,Transport,0.03620823845267296,0.0019860106986016035
Other electricity,Form,2.1237778663635254,0.23194943368434906
Other electricity,Built,6.992654323577881,0.7637061476707458
Other electricity,Transport,0.039778515696525574,0.004344429820775986
