normalization,model,target_key,target,rmse,mae,r2
floor,ols,cooling,Cooling load,28.045616431632556,7.596408603466756,0.14286217737509052
land,ols,cooling,Cooling load,3.7795216068261936,2.515273939791781,0.8701732073550321
floor,ols,heating,Heating load,18.162031321843365,4.727465480665357,0.09757673093038063
land,ols,heating,Heating load,2.966564491645501,1.548920226041579,0.9715246709336259
floor,ols,other_electricity,Other electricity,9.212655808078374,3.1816074428406913,0.3115218447054816
land,ols,other_electricity,Other electricity,3.5170909792867646,2.4527163840156634,0.741723528150561
floor,xgboost,cooling,Cooling load,20.554378490860117,4.137464142144223,0.45358794872694014
land,xgboost,cooling,Cooling load,3.010415113166119,1.7687769946924825,0.9174998972179624
floor,xgboost,heating,Heating load,13.363651609532582,2.9576727298794854,0.36606906913289244
land,xgboost,heating,Heating load,3.454204635305582,1.5007562292734293,0.9612160972241794
floor,xgboost,other_electricity,Other electricity,9.075919269042965,2.3725603721395006,0.23968334245617964
land,xgboost,other_electricity,Other electricity,3.3342940363654505,1.957850439632228,0.7686109034231908
